,date,ticker
387,2021-10-11,RIG
388,2021-10-11,HP
389,2021-10-11,NOV
390,2021-10-11,WHD
391,2021-10-11,TS.MI
392,2021-10-11,NET
393,2021-10-11,NFLX
394,2021-10-11,NOW
395,2021-10-10,SNAP
396,2021-10-10,TACO
397,2021-10-10,GS
398,2021-10-10,JPM
399,2021-10-10,MS
400,2021-10-10,JPM
401,2021-10-10,TSM
402,2021-10-10,BAC
403,2021-10-10,BLK
404,2021-10-10,WFC
405,2021-10-10,FAST
406,2021-10-10,WBA
407,2021-10-10,C
408,2021-10-10,DPZ
409,2021-10-10,UNH
410,2021-10-10,MS
411,2021-10-10,CMC
412,2021-10-10,USB
413,2021-10-10,GS
414,2021-10-10,INFY
415,2021-10-10,SCHW
416,2021-10-10,WIT
417,2021-10-10,PNC
418,2021-10-10,JBHT
419,2021-10-10,SXT
420,2021-10-10,GMBL
421,2021-10-10,BMI
422,2021-10-10,PGR
423,2021-10-10,AFRM
424,2021-10-10,AFRM
425,2021-10-09,UPST
426,2021-10-09,NFLX
427,2021-10-16,DATS
428,2021-10-15,DATS
429,2021-10-15,DATS
430,2021-10-15,DATS
431,2021-10-15,DATS
432,2021-10-15,SNAP
433,2021-10-15,DATS
434,2021-10-15,DATS
435,2021-10-15,DATS
436,2021-10-15,DATS
437,2021-10-14,DATS
438,2021-10-14,DATS
439,2021-10-14,DATS
440,2021-10-14,DATS
441,2021-10-14,DATS
442,2021-10-14,DATS
443,2021-10-14,DATS
444,2021-10-14,DATS
445,2021-10-14,DATS
446,2021-10-13,DATS
447,2021-10-13,DATS
448,2021-10-13,DATS
449,2021-10-12,DATS
450,2021-10-11,DATS
451,2021-10-08,DATS
452,2021-10-08,DATS
453,2021-10-15,HUMA
454,2021-10-15,HUMA
455,2021-10-15,HUMA
456,2021-10-15,DNA
457,2021-10-15,HUMA
458,2021-10-13,ASTS
459,2021-10-13,HUMA
460,2021-10-13,HUMA
461,2021-10-09,HUMA
462,2021-10-09,ASTS
463,2021-10-09,ASTS
464,2021-10-09,HUMA
465,2021-10-09,ASTS
466,2021-10-09,ASTS
467,2021-10-08,ASTS
468,2021-10-08,ASTS
469,2021-10-08,RKLB
470,2021-10-08,ASTS
471,2021-10-08,RKLB
472,2021-10-08,ASTS
473,2021-10-08,ASTS
474,2021-10-02,ASTS
475,2021-09-29,ASTS
476,2021-09-29,HUMA
477,2021-09-17,ASTS
478,2021-09-03,RNW
479,2021-09-02,RNW
480,2021-09-02,RNW
481,2021-09-02,RNW
482,2021-09-02,NEE
483,2021-09-02,RNW
484,2021-09-02,AZRE
485,2021-09-02,RNW
