,Title,Date,Time,No.of comments,Score,Upvote,Tickers
72,Microvast Public Free Float DD,2021-09-26,2021-09-26 21:55:35,60,601,0.94,MVST
73,"If This Moons Wifey Is Giving Boyfriend The Glock Glock 9000. $1,000,000 CLOV Market Buy To Be Safe",2021-10-11,2021-10-11 14:59:55,207,588,0.73,CLOV
74,FOX News: Recreational marijuana legalization in Pennsylvania proposed by Republican lawmaker.,2021-10-07,2021-10-07 03:08:51,220,590,0.94,FOX
75,GOEV 1-day gain porn ($104k) on just warrants - They hate us because they anus 🛶📈🚀,2021-09-26,2021-09-26 21:11:43,122,589,0.89,GOEV
76,SOFI yolo. To the moon!,2021-10-12,2021-10-12 08:06:08,123,562,0.87,SOFI
77,Betting TSLA over the weekend,2021-10-18,2021-10-18 19:36:05,110,543,0.95,TSLA
78,SNDL to the moon! 25k shares,2021-10-08,2021-10-08 18:14:59,213,542,0.81,SNDL
79,"$SDC held support PERFECT today! [Tech Analysis] 🔥 , see chart below.",2021-10-08,2021-10-08 03:23:05,145,537,0.87,SDC
80,retardate - AAPL puts,2021-10-19,2021-10-19 20:20:09,187,532,0.95,AAPL
81,"Daily Popular Tickers Thread for October 07, 2021 - SDC | PLTR | GME",2021-10-07,2021-10-07 15:30:23,1868,523,0.94,SDC
82,TLRY real talk…( Weed stocks in general too kinda but they all suck compared to TLRY),2021-10-04,2021-10-04 15:54:35,245,519,0.9,TLRY
83,TLRY real talk…( Weed stocks in general too kinda but they all suck compared to TLRY),2021-10-04,2021-10-04 15:54:35,245,519,0.9,ACB
84,SDC 38k YOLO 95k shares left to short this thing will go P A R A B O L I C !,2021-09-27,2021-09-27 20:25:12,126,514,0.82,SDC
85,SDC $1mil+ YOLO,2021-10-01,2021-10-01 21:23:42,163,516,0.91,SDC
86,"+181,000 GAIN on $SoFi. Going to the moon boys🚀💰❤️🔥",2021-10-13,2021-10-13 02:32:27,108,504,0.94,GAIN
87,"UPDATE: LOCKED IN +$82,000 GAIN ON SPY/QQQ PUTS IN ONE WEEK 🚀🚀🚀 GOT OUT EARLY TODAY BEFORE MARKET RALLY!!!",2021-10-02,2021-10-02 04:08:46,76,479,0.95,GAIN
88,120k loss in SDC,2021-09-30,2021-09-30 03:26:31,291,475,0.93,SDC
89,SOFI the next multi-millionaire stock,2021-09-25,2021-09-25 08:05:00,249,472,0.88,SOFI
90,SOFI the next multi-millionaire stock,2021-09-25,2021-09-25 08:05:00,249,472,0.88,API
91,"CLOV YOLO: 65,000 shares @ $8.72 - Oct 11 2021 🍀",2021-10-11,2021-10-11 17:05:30,109,472,0.79,CLOV
92,$GOEV Rocket prepped and fueled for takeoff 🚀🚀🚀,2021-09-24,2021-09-24 22:40:05,203,468,0.82,GOEV
93,$GOEV Rocket prepped and fueled for takeoff 🚀🚀🚀,2021-09-24,2021-09-24 22:40:05,203,468,0.82,KC
94,SDC! Here we go baby!!!!,2021-10-11,2021-10-11 16:16:43,116,464,0.82,SDC
95,"$SDC 75k shares! In this life we have two balls, and we going balls deep into SDC!!",2021-09-26,2021-09-26 02:42:49,170,458,0.9,SDC
